Fecha;Fondo;Ticker;Accion;Porcentaje;Modif_porc;Peso_absoluto;Precio;Banco;CNMV
01-09-2024;ALPHA;AC.PA;ACCOR EUR 2.251 2,13 2.072 2,39;4.73;-0.003403141361256611;-0.016096858638743772;38.07;IBERCAJA;NOSE
01-09-2024;BESTIDEAS;IBE.MC;Iberdrola, S.A.;17.56838834;0.006279434850863428;0.11031955001569868;12.82;IBERCAJA;NOSE
01-09-2024;BESTIDEAS;TEF.MC;Telefónica, S.A.;10.95818855;0.004169732646553924;0.0456927165440284;4.094;IBERCAJA;NOSE
01-09-2024;BESTIDEAS;NVO;NOVO-NORDISK;7.157529454;0.011925538103548475;0.0853573902309475;139.16;IBERCAJA;NOSE
01-09-2024;BESTIDEAS;OR.PA;LOREAL;6.120991106;-0.004892736168611187;-0.02994839457207359;396.6;IBERCAJA;NOSE
01-09-2024;BESTIDEAS;NTGY.MC;Naturgy Energy Group, S.A.;5.937176619;0.0026086956521738573;0.015488286832173582;23.06;IBERCAJA;NOSE
01-09-2024;BESTIDEAS;MC.PA;LVMH MOET HENNESSY LOUIS VUI;5.908975925;-0.004576321228225602;-0.027041371962651512;674.3;IBERCAJA;NOSE
01-09-2024;BESTIDEAS;BTI;BRITISH AMERICAN TOBACCO PLC;4.83651748;0.006159614354579455;0.029791082495982456;37.57;IBERCAJA;NOSE
01-09-2024;BESTIDEAS;ASML;ASML HOLDING NV;4.830961442;0.018204143244978616;0.08794351410113646;903.87;IBERCAJA;NOSE
01-09-2024;BESTIDEAS;NKE;NIKE INC;4.798870627;0.0007206341580589486;0.003458230093921964;83.32;IBERCAJA;NOSE
01-09-2024;BESTIDEAS;REP.MC;Repsol, S.A.;3.851010579;0.0016083634901487393;0.006193824815440158;12.455;IBERCAJA;NOSE
01-09-2024;BESTIDEAS;SYK;STRYKER CORP;3.475527998;0.006956667504819403;0.024178092685776635;360.42;IBERCAJA;NOSE
01-09-2024;BESTIDEAS;MSFT;MICROSOFT CORP ;3.284584604;0.009730828814872148;0.03196173050948862;417.14;IBERCAJA;NOSE
01-09-2024;BESTIDEAS;AEM; AGNICO EAGLE MINES LTD       ;3.106642876;-0.0026931080915656614;-0.008366525066960418;81.47;IBERCAJA;NOSE
01-09-2024;BESTIDEAS;ADP;AUTOMATIC DATA PROCESSING;3.101818696;0.009328358208955265;0.028934875895522516;275.91;IBERCAJA;NOSE
01-09-2024;BESTIDEAS;JNJ;Johnson Johnson;3.101718491;0.009925105035620921;0.030784881814102626;165.86;IBERCAJA;NOSE
01-09-2024;BESTIDEAS;MAR;MARRIOTT INTERNATIONAL -CL;2.02683543;0.014349310627998414;0.029083691176902737;234.69;IBERCAJA;NOSE
01-09-2024;BESTIDEAS;HD;Home depot;1.603467139;0.003923064349152721;0.00629050476804881;368.5;IBERCAJA;NOSE
01-09-2024;BESTIDEAS;CBAV.MC;Clínica Baviera, S.A;1.438870638;0.013513513513513466;0.01944419781081074;30.0;IBERCAJA;NOSE
01-09-2024;BESTIDEAS;ENC.MC;ENCE Energía y Celulosa;1.230559482;0.00647249190938512;0.007964786291262144;3.11;IBERCAJA;NOSE
01-09-2024;BESTIDEAS;VRSK;VERISK ANALYTICS INC;1.227517529;0.004085237937506952;0.005014701178425589;272.82;IBERCAJA;NOSE
01-09-2024;BESTIDEAS;MRO;Marathon Oil Corporation;1.181535724;-0.006932409012131814;-0.008190888901213288;28.65;IBERCAJA;NOSE
